state,state_full,pop,od,od.ratio,specialty,credentials,opioid,controlled,not.opioid,OXYCONTIN,OXYCODONE.HCL,OXYCODONE.ACETAMINOPHEN,PHENOBARBITAL,ACETAMINOPHEN.CODEINE,MORPHINE.SULFATE,TRAMADOL.HCL,HYDROMORPHONE.HCL,HYDROCODONE.ACETAMINOPHEN,CLONAZEPAM,METHADONE.HCL,FENTANYL,MORPHINE.SULFATE.ER,DIAZEPAM,od.group,od.group2
OK,Oklahoma,3850568,777,0.020178841147591733,42,31,38093,11155,336977,752,3155,3021,126,554,615,5143,603,16864,1778,357,1634,1980,1511,high,1
OR,Oregon,3930065,522,0.013282223067557407,41,50,34503,9535,329086,480,5309,2420,275,669,503,2937,384,13124,3194,1025,1065,1854,1264,low,0
PA,Pennsylvania,12773801,2732,0.021387525921219532,65,66,119617,59438,1660561,3853,13714,15714,1257,2917,1087,19251,702,31992,14053,1427,5567,4138,3945,high,1
RI,Rhode Island,1051511,247,0.023490006286191967,30,25,9420,4556,165804,253,789,1074,45,147,63,1461,57,2880,1647,61,226,240,477,high,1
SC,South Carolina,4774839,701,0.014681123279758752,45,41,49111,25177,637362,502,2082,4297,350,427,254,9695,332,21024,5274,162,836,819,3057,low,0
SD,South Dakota,844877,63,0.007456706715888821,29,15,8055,3434,102258,246,350,185,45,194,52,1675,22,2489,1668,24,624,310,171,low,0
TN,Tennessee,6495978,1269,0.019535164681900093,52,74,88382,36634,855105,1510,6164,8964,372,1362,768,10070,237,40032,7471,523,2338,3995,4576,high,1
TX,Texas,26448193,2601,0.00983432025015849,62,126,150511,67823,1697124,743,1593,1574,389,4868,450,32342,699,80781,14346,994,3907,2578,5247,low,0
UT,Utah,2900872,603,0.020786853056598154,36,32,12908,5229,104543,112,939,1284,82,96,38,2026,61,5266,1544,250,379,343,488,high,1
VA,Virginia,8260405,980,0.011863825078794563,53,61,53779,23550,619463,410,3342,7548,602,1177,226,10295,650,17919,6421,320,1261,693,2915,low,0
VT,Vermont,626630,83,0.013245455851140226,26,20,5951,2421,51264,145,632,524,12,22,182,846,199,1193,995,234,264,295,408,low,0
WA,Washington,6971406,979,0.014043078254228774,49,67,51337,15786,471370,1397,8211,3998,138,946,543,4874,857,17614,5072,1427,1597,3135,1528,low,0
WI,Wisconsin,5742713,853,0.014853606648982807,45,38,48955,18192,551861,1938,5232,4512,202,1163,376,7159,215,14888,5560,662,2399,2629,2020,low,0
WV,West Virginia,1854304,627,0.0338132258788203,36,27,24856,14957,325366,229,1071,2327,322,373,96,3982,75,10327,3126,200,737,326,1665,high,1
WY,Wyoming,582658,109,0.018707372077616715,19,15,5167,1476,55033,194,520,423,40,126,61,468,47,2078,382,74,279,354,121,high,1
